"","title","year","topic"
"97","Lancement_""L’histoire_de_l’art_pour_les_nullissimes""_à_la_librairie+_UTF8.txt",2017,5
"98","Lancement_de_“Projet_Phalanstère_au_CAC_Brétigny”_à_la_librairie+_UTF8.txt",2017,5
"99","Lancement_de_X_Artists’_Books_à_la_librairie+_UTF8.txt",2017,5
"100","Lancement_du_numéro_de_la_revue_2G_sur_l'agence_Bruther_à_la_librairie+_UTF8.txt",2017,5
"101","Mémoires_de_Bamiyan.txt",2017,6
"102","Paul_Maheke+_UTF8.txt",2017,3
"103","Programmation_de_films+_UTF8.txt",2017,3
"104","Quand_le_Palais_fait_son_cinéma…+_UTF8.txt",2017,3
"105","Rencontre_autour_de_l’exposition_de_Mel_O’Callaghan.txt",2017,5
"106","Rencontre_avec_Milovan_Farronato_&_projection_du_film_""Ticket_of_No_Return""_d’Ulrike_Ottinger+_UTF8.txt",2017,5
"107","Signature_d’Henri_Galeron_et_d’Emma_Giulani_à_la_librairie+_UTF8.txt",2017,5
"108","Signature_de_Catherine_Grenier_à_la_librairie+_UTF8.txt",2017,5
"109","Signature_de_Charles_Fréger_à_la_librairie+_UTF8.txt",2017,5
"110","Signature_de_François-Xavier_Courrèges_à_la_librairie+_UTF8.txt",2017,5
"111","Signature_de_Prune_Nourry+_UTF8.txt",2017,5
"112","Signature_de_Victor_Coutard_et_Pooya_Abbasian_à_la_librairie+_UTF8.txt",2017,5
"113","Tomorrow’s_Corporate_Love_(Forgetting_From_Athens)_[Les_Lundis_du_Pavillon].txt",2017,8
"114","Un_week-end_au_Palais+_UTF8.txt",2017,1
"115","Under_the_same_sky?+_UTF8.txt",2017,6
"116","Une_pensée_pour_la_culture.txt",2017,1
"117","Vendredi_sur_Mer+_UTF8.txt",2017,2
"118","Visite_""Du_bronzage_au_coup_de_soleil""+_UTF8.txt",2017,1
"119","Visite_Hotline_Bling_le_téléphone,_l’amour_et_les_bijoux+_UTF8.txt",2017,1
"120","Workshop_""fond_vert""_avec_Pablo_Réol+_UTF8.txt",2017,5
"121","Workshop_""fond_vert""+_UTF8.txt",2017,1
"122","Workshop_ikebana_tous_publics+_UTF8.txt",2017,1
"123","Workshop_zootrope_en_famille+_UTF8.txt",2017,1
"124","""Une_minute_de_danse_par_jour"",_Nadia_Vadori-Gauthier.txt",2016,4
"125","1.033,_Chloé_Favriau_et_Alexis_Quinterne.txt",2016,2
"126","Atelier_couronnes_de_fleurs+_UTF8.txt",2016,1
"127","CAANDIDES_[ENTRE_DEUX].txt",2016,2
"128","Camping.txt",2016,8
"129","Charliewood.txt",2016,2
"130","Cheesy_Display_[Les_Lundis_du_Pavillon].txt",2016,8
"131","Conversation_#1+_UTF8.txt",2016,8
"132","Conversation_#2+_UTF8.txt",2016,8
"133","Conversation_#3+_UTF8.txt",2016,8
"134","Daphné_Hérétakis_[Split_:_Screen].txt",2016,3
"135","Décrochage_et_accrochage_des_nouvelles_œuvres_dans_les_cabanes_de_Sara_Favriau.txt",2016,5
"136","Défilé_du_31_ème_Festival_International_de_Mode_et_de_Photographie_à_Hyères_(retransmission).txt",2016,3
"137","DO_DISTURB.txt",2016,3
"138","Ecco_Ecco_Ecco_Ecco+_UTF8.txt",2016,8
"139","Every_Angle_is_an_Angel.txt",2016,2
"140","Exposer_la_recherche_en_art.txt",2016,6
"141","HEART_OF_GLASS_[Les_Lundis_du_Pavillon].txt",2016,8
"142","Iggy_Pop_[COMPLET].txt",2016,8
"143","Indiscipline+_UTF8.txt",2016,3
"144","K.O.S.H.K.O.N.O.N.G.txt",2016,5
"145","KOYAMARU.txt",2016,3
"146","Le_Palais_des_monteurs.txt",2016,2
"147","Les_occasions_d'Isabel_Lewis+_UTF8.txt",2016,8
"148","Les_Sans_Pattes.txt",2016,2
"149","N:Z.txt",2016,5
"150","NEVER_ENDING_STORIES_[Les_Lundis_du_Pavillon].txt",2016,8
"151","Prix_AICA_France_2016_de_la_Critique_d’art.txt",2016,5
"152","Samuel_Bianchini_(EnsadLab).txt",2016,6
